"cod_ibge";"id_familias";"id_pessoas";"vlr_renda_media_fam";"cod_local_domic_fam";"cod_especie_domic_fam";"qtd_comodos_domic_fam";"qtd_comodos_dormitorio_fam";"cod_material_piso_fam";"cod_material_domic_fam";"cod_agua_canalizada_fam";"cod_abaste_agua_domic_fam";"cod_banheiro_domic_fam";"cod_escoa_sanitario_domic_fam";"cod_destino_lixo_domic_fam";"cod_iluminacao_domic_fam";"cod_calcamento_domic_fam";"cod_sexo_pessoa";"dta_nasc_pessoa";"cod_parentesco_rf_pessoa";"cod_raca_cor_pessoa";"cod_local_nascimento_pessoa";"cod_certidao_registrada_pessoa";"cod_deficiencia_memb";"cod_sabe_ler_escrever_memb";"ind_frequenta_escola_memb";"cod_escola_local_memb";"cod_curso_frequenta_memb";"cod_ano_serie_frequenta_memb";"cod_curso_frequentou_pessoa_memb";"cod_ano_serie_frequentou_memb";"cod_concluiu_frequentou_memb";"cod_trabalhou_memb";"cod_afastado_trab_memb";"cod_agricultura_trab_memb";"cod_principal_trab_memb";"val_remuner_emprego_memb";"cod_trabalho_12_meses_memb";"qtd_meses_12_meses_memb";"val_renda_bruta_12_meses_memb";"val_renda_doacao_memb";"val_renda_aposent_memb";"val_renda_seguro_desemp_memb";"val_renda_pensao_alimen_memb";"val_outras_rendas_memb";"dat_atualizacao_familia";"dat_cadastramento_fam"
1200401;4075;20622;3100;1;1;5;3;5;1;1;1;1;1;1;1;1;2;1968-11-04;1;4;1;1;2;1;3;;;;4;4;1;1;;2;1;100;1;1;100;120;0;0;0;0;2015-04-27;2002-06-13
1200401;4075;26769;3100;1;1;5;3;5;1;1;1;1;1;1;1;1;2;2003-03-05;3;4;1;1;2;1;1;1;5;5;;;;;;;;;;;;;0;;0;;2015-04-27;2002-06-13
1200401;4075;22598;3100;1;1;5;3;5;1;1;1;1;1;1;1;1;2;1994-11-24;3;;1;1;2;1;3;1;;;;;;;;;;;;;;;;;;;2015-04-27;2002-06-13
1200401;4075;18383;3100;1;1;5;3;5;1;1;1;1;1;1;1;1;2;2000-04-02;3;4;1;1;2;1;1;1;5;9;;;;2;2;;;0;2;;;0;0;0;0;0;2015-04-27;2002-06-13
1200401;5854;14232;20000;1;1;3;1;5;2;1;1;1;1;1;1;1;2;1968-08-04;1;4;1;1;2;2;4;;;;;;;2;2;;;0;2;;;0;0;0;0;0;2015-07-22;2002-06-25
1200401;5854;22465;20000;1;1;3;1;5;2;1;1;1;1;1;1;1;2;2008-03-05;3;1;1;1;2;2;1;1;5;2;;;;;;;;;;;;;0;;0;;2015-07-22;2002-06-25
1200401;5854;22201;20000;1;1;3;1;5;2;1;1;1;1;1;1;1;1;2012-03-20;3;1;1;1;2;2;4;;;;;;;;;;;;;;;;;;;;2015-07-22;2002-06-25
1200401;4646;17019;0;1;1;3;2;3;6;1;1;1;1;1;1;1;2;1954-08-20;1;4;2;1;2;2;4;;;;;;;2;2;;;0;2;;;0;0;0;0;0;2015-08-19;2002-08-08
1200401;4646;27671;0;1;1;3;2;3;6;1;1;1;1;1;1;1;2;1994-10-09;3;4;1;1;2;1;1;1;8;3;;;;2;2;;;0;2;;;0;0;0;0;0;2015-08-19;2002-08-08
1200401;4646;27659;0;1;1;3;2;3;6;1;1;1;1;1;1;1;1;1997-04-21;5;4;1;1;2;1;1;1;7;1;;;;2;2;;;0;2;;;0;0;0;0;0;2015-08-19;2002-08-08
